cycle,time_ns,i_in_real,v_mem_real,exp_vmem_real,exp_vmem_pre_real,spike,exp_spike,exc_delayed_real,inh_delayed_real
0,35.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
0,45.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
1,55.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
2,65.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
3,75.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
4,85.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
5,95.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
6,105.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
7,115.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
8,125.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
9,135.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
10,145.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
11,155.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
12,165.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
13,175.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
14,185.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
15,195.000000,0.449951,0.000000,0.000000,0.000000,0,0,0.449951,0.000000
16,205.000000,0.000000,0.449951,0.449951,0.449951,0,0,0.000000,0.000000
17,215.000000,0.000000,0.431885,0.431885,0.431885,0,0,0.000000,0.000000
18,225.000000,0.000000,0.414551,0.414551,0.414551,0,0,0.000000,0.000000
19,235.000000,0.000000,0.397949,0.397949,0.397949,0,0,0.000000,0.000000
20,245.000000,0.000000,0.381836,0.381836,0.381836,0,0,0.000000,0.000000
21,255.000000,0.000000,0.366455,0.366455,0.366455,0,0,0.000000,0.000000
22,265.000000,0.000000,0.351562,0.351562,0.351562,0,0,0.000000,0.000000
23,275.000000,0.000000,0.337402,0.337402,0.337402,0,0,0.000000,0.000000
24,285.000000,0.000000,0.323730,0.323730,0.323730,0,0,0.000000,0.000000
25,295.000000,0.000000,0.310547,0.310547,0.310547,0,0,0.000000,0.000000
26,305.000000,0.449951,0.298096,0.298096,0.298096,0,0,0.449951,0.000000
27,315.000000,0.000000,0.736084,0.736084,0.736084,0,0,0.000000,0.000000
28,325.000000,0.000000,0.706543,0.706543,0.706543,0,0,0.000000,0.000000
29,335.000000,0.000000,0.678223,0.678223,0.678223,0,0,0.000000,0.000000
30,345.000000,0.000000,0.650879,0.650879,0.650879,0,0,0.000000,0.000000
31,355.000000,0.000000,0.624756,0.624756,0.624756,0,0,0.000000,0.000000
32,365.000000,0.000000,0.599609,0.599609,0.599609,0,0,0.000000,0.000000
33,375.000000,0.000000,0.575439,0.575439,0.575439,0,0,0.000000,0.000000
34,385.000000,0.000000,0.552246,0.552246,0.552246,0,0,0.000000,0.000000
35,395.000000,0.000000,0.530029,0.530029,0.530029,0,0,0.000000,0.000000
36,405.000000,0.000000,0.508789,0.508789,0.508789,0,0,0.000000,0.000000
37,415.000000,0.000000,0.488281,0.488281,0.488281,0,0,0.000000,0.000000
38,425.000000,0.000000,0.468506,0.468506,0.468506,0,0,0.000000,0.000000
39,435.000000,0.000000,0.449707,0.449707,0.449707,0,0,0.000000,0.000000
40,445.000000,0.000000,0.431641,0.431641,0.431641,0,0,0.000000,0.000000
41,455.000000,0.000000,0.414307,0.414307,0.414307,0,0,0.000000,0.000000
42,465.000000,0.000000,0.397705,0.397705,0.397705,0,0,0.000000,0.000000
43,475.000000,0.000000,0.381592,0.381592,0.381592,0,0,0.000000,0.000000
44,485.000000,0.449951,0.366211,0.366211,0.366211,0,0,0.449951,0.000000
45,495.000000,0.000000,0.801270,0.801270,0.801270,0,0,0.000000,0.000000
46,505.000000,0.000000,0.769043,0.769043,0.769043,0,0,0.000000,0.000000
47,515.000000,0.000000,0.738037,0.738037,0.738037,0,0,0.000000,0.000000
48,525.000000,0.000000,0.708252,0.708252,0.708252,0,0,0.000000,0.000000
49,535.000000,0.000000,0.679688,0.679688,0.679688,0,0,0.000000,0.000000
50,545.000000,0.000000,0.652344,0.652344,0.652344,0,0,0.000000,0.000000
51,555.000000,0.000000,0.626221,0.626221,0.626221,0,0,0.000000,0.000000
52,565.000000,0.000000,0.601074,0.601074,0.601074,0,0,0.000000,0.000000
53,575.000000,0.000000,0.576904,0.576904,0.576904,0,0,0.000000,0.000000
54,585.000000,0.000000,0.553711,0.553711,0.553711,0,0,0.000000,0.000000
55,595.000000,0.449951,0.531494,0.531494,0.531494,0,0,0.449951,0.000000
56,605.000000,0.000000,0.959961,0.959961,0.959961,0,0,0.000000,0.000000
57,615.000000,0.000000,0.921387,0.921387,0.921387,0,0,0.000000,0.000000
58,625.000000,0.000000,0.884277,0.884277,0.884277,0,0,0.000000,0.000000
59,635.000000,-0.250000,0.848633,0.848633,0.848633,0,0,0.000000,0.250000
60,645.000000,0.449951,0.564453,0.564453,0.564453,0,0,0.449951,0.000000
61,655.000000,0.449951,0.991699,0.991699,0.991699,0,0,0.449951,0.000000
62,665.000000,0.000000,0.000000,0.000000,1.401855,1,1,0.000000,0.000000
63,675.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
64,685.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
65,695.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
66,705.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
67,715.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
68,725.000000,0.449951,0.000000,0.000000,0.000000,0,0,0.449951,0.000000
69,735.000000,0.000000,0.449951,0.449951,0.449951,0,0,0.000000,0.000000
70,745.000000,0.000000,0.431885,0.431885,0.431885,0,0,0.000000,0.000000
71,755.000000,0.000000,0.414551,0.414551,0.414551,0,0,0.000000,0.000000
72,765.000000,0.000000,0.397949,0.397949,0.397949,0,0,0.000000,0.000000
73,775.000000,0.000000,0.381836,0.381836,0.381836,0,0,0.000000,0.000000
74,785.000000,0.000000,0.366455,0.366455,0.366455,0,0,0.000000,0.000000
75,795.000000,0.449951,0.351562,0.351562,0.351562,0,0,0.449951,0.000000
76,805.000000,0.000000,0.787354,0.787354,0.787354,0,0,0.000000,0.000000
77,815.000000,0.000000,0.755615,0.755615,0.755615,0,0,0.000000,0.000000
78,825.000000,0.000000,0.725342,0.725342,0.725342,0,0,0.000000,0.000000
79,835.000000,0.000000,0.696289,0.696289,0.696289,0,0,0.000000,0.000000
80,845.000000,0.000000,0.668213,0.668213,0.668213,0,0,0.000000,0.000000
81,855.000000,0.000000,0.641357,0.641357,0.641357,0,0,0.000000,0.000000
82,865.000000,0.000000,0.615479,0.615479,0.615479,0,0,0.000000,0.000000
83,875.000000,0.000000,0.590820,0.590820,0.590820,0,0,0.000000,0.000000
84,885.000000,0.000000,0.567139,0.567139,0.567139,0,0,0.000000,0.000000
