cycle,time_ns,fan_in,input_events,output_spike,latency_ns
0,95.000,8,0,0,0.000
1,105.000,8,0,0,0.000
2,115.000,8,0,0,0.000
3,125.000,8,0,0,0.000
4,135.000,8,0,0,0.000
5,145.000,8,0,0,0.000
6,155.000,8,0,0,0.000
7,165.000,8,0,0,0.000
8,175.000,8,0,0,0.000
9,185.000,8,0,0,0.000
10,195.000,8,0,0,0.000
11,205.000,8,0,0,0.000
12,215.000,8,0,0,0.000
13,225.000,8,0,0,0.000
14,235.000,8,0,0,0.000
15,245.000,8,0,0,0.000
16,255.000,8,0,0,0.000
17,265.000,8,0,0,0.000
18,275.000,8,0,0,0.000
19,285.000,8,0,0,0.000
20,295.000,8,0,0,0.000
21,305.000,8,0,0,0.000
22,315.000,8,0,0,0.000
23,325.000,8,0,0,0.000
24,335.000,8,0,0,0.000
25,345.000,8,0,0,0.000
26,355.000,8,0,0,0.000
27,365.000,8,0,0,0.000
28,375.000,8,0,0,0.000
29,385.000,8,0,0,0.000
30,395.000,8,0,0,0.000
31,405.000,8,0,0,0.000
32,415.000,8,0,0,0.000
33,425.000,8,0,0,0.000
34,435.000,8,0,0,0.000
35,445.000,8,0,0,0.000
36,455.000,8,0,0,0.000
37,465.000,8,0,0,0.000
38,475.000,8,0,0,0.000
39,485.000,8,0,0,0.000
40,495.000,8,0,0,0.000
41,505.000,8,0,0,0.000
42,515.000,8,0,0,0.000
43,525.000,8,0,0,0.000
44,535.000,8,0,0,0.000
45,545.000,8,0,0,0.000
46,555.000,8,0,0,0.000
47,565.000,8,0,0,0.000
48,575.000,8,0,0,0.000
49,585.000,8,0,0,0.000
50,595.000,8,0,0,0.000
51,605.000,8,0,0,0.000
52,615.000,8,0,0,0.000
53,625.000,8,0,0,0.000
54,635.000,8,0,0,0.000
55,645.000,8,0,0,0.000
56,655.000,8,0,0,0.000
57,665.000,8,8,0,0.000
58,675.000,8,0,0,0.000
59,685.000,8,0,0,0.000
60,695.000,8,0,0,0.000
61,705.000,8,0,0,0.000
62,715.000,8,0,1,0.000
63,725.000,8,0,0,50.000
64,735.000,8,0,0,0.000
65,745.000,8,0,0,0.000
66,755.000,8,0,0,0.000
67,765.000,8,0,0,0.000
68,775.000,8,0,0,0.000
69,785.000,8,0,0,0.000
70,795.000,8,0,0,0.000
71,805.000,8,0,0,0.000
72,815.000,8,0,0,0.000
73,825.000,8,0,1,0.000
74,835.000,8,0,0,160.000
75,845.000,8,0,0,0.000
76,855.000,8,0,0,0.000
77,865.000,8,0,0,0.000
78,875.000,8,0,0,0.000
79,885.000,8,0,0,0.000
80,895.000,8,0,0,0.000
81,905.000,8,0,0,0.000
82,915.000,8,0,0,0.000
83,925.000,8,0,0,0.000
84,935.000,8,0,0,0.000
85,945.000,8,0,0,0.000
86,955.000,8,0,0,0.000
87,965.000,8,0,0,0.000
88,975.000,8,0,0,0.000
89,985.000,8,0,0,0.000
90,995.000,8,0,0,0.000
