cycle,time_ns,in0_spk,in1_spk,n0_spk,n1_spk,n0_v_real,n1_v_real
0,105.000000,0,0,0,0,0.000000,0.000000
1,115.000000,0,0,0,0,0.000000,0.000000
2,125.000000,0,0,0,0,0.000000,0.000000
3,135.000000,0,0,0,0,0.000000,0.000000
4,145.000000,0,0,0,0,0.000000,0.000000
5,155.000000,0,0,0,0,0.000000,0.000000
6,165.000000,0,0,0,0,0.000000,0.000000
7,175.000000,0,0,0,0,0.000000,0.000000
8,185.000000,0,0,0,0,0.000000,0.000000
9,195.000000,0,0,0,0,0.000000,0.000000
10,205.000000,0,0,0,0,0.000000,0.000000
11,215.000000,0,1,0,0,0.000000,0.000000
12,225.000000,0,0,0,0,0.000000,0.000000
13,235.000000,0,0,0,0,0.000000,0.000000
14,245.000000,0,0,0,0,0.000000,0.349854
15,255.000000,0,0,0,0,0.000000,0.657471
16,265.000000,0,0,0,0,0.000000,0.927002
17,275.000000,0,0,0,1,0.099854,0.000000
18,285.000000,0,0,0,0,0.187500,0.000000
19,295.000000,0,0,0,0,0.264160,0.000000
20,305.000000,0,0,0,0,0.330811,0.000000
21,315.000000,0,0,0,0,0.388428,0.000000
22,325.000000,0,0,0,0,0.437988,0.178711
23,335.000000,0,0,0,0,0.480225,0.335693
24,345.000000,0,0,0,0,0.515869,0.473145
25,355.000000,0,0,0,0,0.545410,0.593018
26,365.000000,0,0,0,0,0.569580,0.696777
27,375.000000,0,0,0,0,0.588867,0.786133
28,385.000000,0,0,0,0,0.604004,0.862549
29,395.000000,0,0,0,0,0.615234,0.927002
30,405.000000,0,0,0,0,0.623291,0.980713
31,415.000000,0,0,0,1,0.628174,0.000000
32,425.000000,0,0,0,0,0.630371,0.000000
33,435.000000,0,0,0,0,0.630127,0.000000
34,445.000000,0,0,0,0,0.627686,0.000000
35,455.000000,0,0,0,0,0.623535,0.000000
36,465.000000,0,0,0,0,0.617676,0.054443
37,475.000000,0,0,0,0,0.610352,0.102295
38,485.000000,0,0,0,0,0.601807,0.144043
39,495.000000,0,0,0,0,0.592285,0.180176
40,505.000000,0,0,0,0,0.581787,0.211426
41,515.000000,0,0,0,0,0.570557,0.238281
42,525.000000,0,0,0,0,0.558594,0.260986
43,535.000000,0,0,0,0,0.546143,0.280273
44,545.000000,0,0,0,0,0.533203,0.296387
45,555.000000,0,0,0,0,0.520020,0.309570
46,565.000000,0,0,0,0,0.506592,0.320068
47,575.000000,0,0,0,0,0.492920,0.328125
48,585.000000,0,0,0,0,0.479248,0.334229
49,595.000000,0,0,0,0,0.465332,0.338379
50,605.000000,0,0,0,0,0.451416,0.340820
51,615.000000,0,0,0,0,0.437500,0.341797
52,625.000000,0,0,0,0,0.423828,0.341309
53,635.000000,0,0,0,0,0.410156,0.339844
54,645.000000,0,0,0,0,0.396484,0.337158
55,655.000000,0,0,0,0,0.383057,0.333496
56,665.000000,1,1,0,0,0.370117,0.329102
57,675.000000,0,0,0,0,0.357422,0.324219
58,685.000000,0,0,0,0,0.344971,0.318604
59,695.000000,0,0,0,0,0.632568,0.664062
60,705.000000,0,0,0,0,0.884521,0.967041
61,715.000000,0,0,1,1,0.000000,0.000000
62,725.000000,0,0,0,0,0.000000,0.000000
63,735.000000,0,0,0,0,0.000000,0.000000
64,745.000000,0,0,0,0,0.000000,0.000000
65,755.000000,0,0,0,0,0.000000,0.000000
66,765.000000,0,0,0,0,0.239258,0.160645
67,775.000000,0,0,0,0,0.449463,0.303223
68,785.000000,0,0,0,0,0.633545,0.429688
69,795.000000,0,0,0,0,0.793945,0.541016
70,805.000000,0,0,0,0,0.932861,0.638672
71,815.000000,0,1,1,0,0.000000,0.723877
72,825.000000,0,0,0,0,0.000000,0.797607
73,835.000000,0,0,0,0,0.000000,0.860840
74,845.000000,0,0,0,1,0.000000,0.000000
75,855.000000,0,0,0,0,0.000000,0.000000
76,865.000000,0,0,0,0,0.103027,0.000000
77,875.000000,0,0,0,0,0.294922,0.000000
78,885.000000,0,0,0,0,0.463135,0.000000
79,895.000000,0,0,0,0,0.610107,0.291748
80,905.000000,0,0,0,0,0.737549,0.548828
81,915.000000,0,0,0,0,0.847900,0.773926
82,925.000000,0,0,0,0,0.942383,0.970703
83,935.000000,0,0,1,1,0.000000,0.000000
84,945.000000,0,0,0,0,0.000000,0.000000
85,955.000000,0,0,0,0,0.000000,0.000000
86,965.000000,0,0,0,0,0.000000,0.000000
87,975.000000,0,0,0,0,0.000000,0.000000
88,985.000000,0,0,0,0,0.077393,0.138428
89,995.000000,0,0,0,0,0.145264,0.260254
90,1005.000000,0,0,0,0,0.204590,0.366943
91,1015.000000,0,0,0,0,0.256104,0.459961
92,1025.000000,0,0,0,0,0.300537,0.540771
93,1035.000000,0,0,0,0,0.338623,0.610596
94,1045.000000,0,0,0,0,0.371094,0.670166
95,1055.000000,0,0,0,0,0.398438,0.720703
96,1065.000000,0,0,0,0,0.421143,0.762695
97,1075.000000,1,1,0,0,0.439697,0.797119
98,1085.000000,0,1,0,0,0.454590,0.824951
99,1095.000000,0,0,0,0,0.466309,0.846680
100,1105.000000,0,0,0,1,0.777344,0.000000
101,1115.000000,0,0,1,0,0.000000,0.000000
102,1125.000000,0,0,0,0,0.000000,0.000000
103,1135.000000,0,0,0,0,0.000000,0.000000
104,1145.000000,0,0,0,0,0.000000,0.000000
105,1155.000000,0,0,0,0,0.000000,0.468018
106,1165.000000,0,0,0,0,0.364502,0.881836
107,1175.000000,0,0,0,1,0.685059,0.000000
108,1185.000000,0,0,0,0,0.965820,0.000000
109,1195.000000,0,0,1,0,0.000000,0.000000
110,1205.000000,0,0,0,0,0.000000,0.000000
111,1215.000000,0,0,0,0,0.000000,0.000000
112,1225.000000,0,0,0,0,0.000000,0.268555
113,1235.000000,0,0,0,0,0.000000,0.505371
114,1245.000000,0,0,0,0,0.186279,0.713623
115,1255.000000,0,0,0,0,0.349854,0.895508
116,1265.000000,0,0,0,1,0.492920,0.000000
117,1275.000000,0,0,0,0,0.617676,0.000000
118,1285.000000,0,0,0,0,0.725586,0.000000
119,1295.000000,0,0,0,0,0.818604,0.000000
120,1305.000000,0,0,0,0,0.897705,0.000000
121,1315.000000,0,0,0,0,0.964600,0.129395
122,1325.000000,0,0,1,0,0.000000,0.243164
123,1335.000000,0,0,0,0,0.000000,0.343262
124,1345.000000,0,0,0,0,0.000000,0.430664
125,1355.000000,0,0,0,0,0.000000,0.506592
126,1365.000000,0,0,0,0,0.000000,0.572021
127,1375.000000,0,0,0,0,0.061523,0.628174
128,1385.000000,1,1,0,0,0.115234,0.675781
129,1395.000000,0,0,0,0,0.162354,0.715820
130,1405.000000,0,0,0,0,0.203369,0.748779
131,1415.000000,0,0,0,1,0.541748,0.000000
132,1425.000000,0,0,0,0,0.838867,0.000000
133,1435.000000,0,0,1,0,0.000000,0.000000
134,1445.000000,0,0,0,0,0.000000,0.000000
135,1455.000000,0,0,0,0,0.000000,0.000000
136,1465.000000,0,0,0,0,0.000000,0.220459
137,1475.000000,0,1,0,0,0.000000,0.416260
138,1485.000000,0,0,0,0,0.265625,0.589600
139,1495.000000,0,0,0,0,0.499023,0.742432
140,1505.000000,0,0,0,1,0.703369,0.000000
141,1515.000000,0,0,0,0,0.881348,0.000000
142,1525.000000,0,0,1,0,0.000000,0.000000
143,1535.000000,0,1,0,0,0.000000,0.000000
144,1545.000000,0,0,0,0,0.000000,0.000000
145,1555.000000,0,0,0,0,0.000000,0.345947
146,1565.000000,0,0,0,1,0.000000,0.000000
147,1575.000000,0,0,0,0,0.196289,0.000000
148,1585.000000,0,0,0,0,0.368652,0.000000
149,1595.000000,0,0,0,0,0.615723,0.000000
150,1605.000000,0,0,0,0,0.832031,0.000000
151,1615.000000,0,0,1,0,0.000000,0.445068
152,1625.000000,0,0,0,0,0.000000,0.836914
153,1635.000000,0,0,0,1,0.000000,0.000000
154,1645.000000,0,0,0,0,0.000000,0.000000
155,1655.000000,0,0,0,0,0.000000,0.000000
156,1665.000000,0,0,0,0,0.145508,0.000000
157,1675.000000,0,0,0,0,0.273438,0.000000
158,1685.000000,0,0,0,0,0.385498,0.249023
159,1695.000000,0,0,0,0,0.482910,0.468262
160,1705.000000,0,0,0,0,0.567139,0.660400
161,1715.000000,0,0,0,0,0.639404,0.827881
162,1725.000000,0,0,0,0,0.701172,0.973145
163,1735.000000,0,0,0,1,0.753418,0.000000
164,1745.000000,0,0,0,0,0.796875,0.000000
165,1755.000000,1,1,0,0,0.832520,0.000000
166,1765.000000,0,1,0,0,0.861084,0.000000
167,1775.000000,0,0,0,0,0.883301,0.000000
168,1785.000000,0,0,1,0,0.000000,0.464600
169,1795.000000,0,0,0,1,0.000000,0.000000
170,1805.000000,0,0,0,0,0.000000,0.000000
171,1815.000000,0,0,0,0,0.000000,0.000000
172,1825.000000,0,0,0,0,0.000000,0.000000
173,1835.000000,0,0,0,0,0.403076,0.000000
174,1845.000000,0,0,0,0,0.757324,0.469238
175,1855.000000,0,0,1,0,0.000000,0.883789
176,1865.000000,0,0,0,1,0.000000,0.000000
177,1875.000000,0,0,0,0,0.000000,0.000000
178,1885.000000,0,0,0,0,0.000000,0.000000
179,1895.000000,0,0,0,0,0.000000,0.000000
180,1905.000000,0,0,0,0,0.224365,0.000000
181,1915.000000,0,0,0,0,0.421631,0.268311
182,1925.000000,0,0,0,0,0.594238,0.504883
183,1935.000000,0,0,0,0,0.744629,0.712891
184,1945.000000,0,0,0,0,0.874756,0.894775
185,1955.000000,0,0,0,1,0.986816,0.000000
186,1965.000000,0,0,1,0,0.000000,0.000000
187,1975.000000,0,0,0,0,0.000000,0.000000
188,1985.000000,0,0,0,0,0.000000,0.000000
189,1995.000000,0,0,0,0,0.000000,0.000000
190,2005.000000,0,0,0,0,0.000000,0.129395
191,2015.000000,0,0,0,0,0.088623,0.243164
192,2025.000000,0,0,0,0,0.166260,0.343262
193,2035.000000,0,0,0,0,0.234131,0.430420
194,2045.000000,0,0,0,0,0.293213,0.506104
195,2055.000000,0,0,0,0,0.344238,0.571289
196,2065.000000,0,0,0,0,0.388184,0.627441
197,2075.000000,0,0,0,0,0.425781,0.675049
198,2085.000000,0,0,0,0,0.457520,0.714844
199,2095.000000,0,0,0,0,0.483643,0.747559
200,2105.000000,0,0,0,0,0.505127,0.774170
201,2115.000000,1,1,0,0,0.522461,0.795410
202,2125.000000,0,0,0,0,0.535889,0.811523
203,2135.000000,0,0,0,0,0.545898,0.823242
204,2145.000000,0,0,0,1,0.854980,0.000000
205,2155.000000,0,0,1,0,0.000000,0.000000
206,2165.000000,0,0,0,0,0.000000,0.000000
207,2175.000000,0,0,0,0,0.000000,0.000000
208,2185.000000,0,0,0,0,0.000000,0.000000
209,2195.000000,0,0,0,0,0.000000,0.200195
210,2205.000000,0,0,0,0,0.273682,0.378662
211,2215.000000,0,0,0,0,0.514404,0.536865
212,2225.000000,0,0,0,0,0.725098,0.676514
213,2235.000000,0,0,0,0,0.908936,0.799561
214,2245.000000,0,0,1,0,0.000000,0.906738
215,2255.000000,0,0,0,0,0.000000,0.999756
216,2265.000000,0,0,0,1,0.000000,0.000000
217,2275.000000,0,0,0,0,0.000000,0.000000
218,2285.000000,0,0,0,0,0.000000,0.000000
219,2295.000000,1,1,0,0,0.128418,0.000000
220,2305.000000,1,1,0,0,0.240967,0.000000
221,2315.000000,0,1,0,0,0.339600,0.081787
222,2325.000000,0,0,0,0,0.727295,0.505615
223,2335.000000,0,0,1,1,0.000000,0.000000
224,2345.000000,0,0,0,0,0.000000,0.000000
225,2355.000000,0,0,0,0,0.000000,0.000000
226,2365.000000,0,0,0,0,0.000000,0.000000
227,2375.000000,0,0,0,0,0.000000,0.000000
228,2385.000000,0,0,0,0,0.683594,0.630371
229,2395.000000,0,0,1,1,0.000000,0.000000
230,2405.000000,0,0,0,0,0.000000,0.000000
231,2415.000000,0,0,0,0,0.000000,0.000000
232,2425.000000,0,0,0,0,0.000000,0.000000
233,2435.000000,0,0,0,0,0.000000,0.000000
234,2445.000000,0,0,0,0,0.413574,0.398682
235,2455.000000,0,0,0,0,0.777344,0.751465
236,2465.000000,0,0,1,1,0.000000,0.000000
237,2475.000000,0,0,0,0,0.000000,0.000000
238,2485.000000,0,0,0,0,0.000000,0.000000
239,2495.000000,0,0,0,0,0.000000,0.000000
240,2505.000000,0,1,0,0,0.000000,0.000000
241,2515.000000,0,0,0,0,0.229980,0.230469
242,2525.000000,0,0,0,0,0.432129,0.434082
243,2535.000000,0,0,0,0,0.609131,0.962891
244,2545.000000,0,0,0,1,0.763428,0.000000
245,2555.000000,0,0,0,0,0.896973,0.000000
246,2565.000000,0,0,1,0,0.000000,0.000000
247,2575.000000,0,0,0,0,0.000000,0.000000
248,2585.000000,0,0,0,0,0.000000,0.000000
249,2595.000000,0,0,0,0,0.000000,0.333252
250,2605.000000,0,0,0,0,0.000000,0.626709
251,2615.000000,0,0,0,0,0.158691,0.884277
252,2625.000000,0,0,0,1,0.297852,0.000000
253,2635.000000,0,0,0,0,0.419922,0.000000
254,2645.000000,0,0,0,0,0.526367,0.000000
255,2655.000000,0,0,0,0,0.618408,0.000000
256,2665.000000,0,0,0,0,0.697510,0.000000
257,2675.000000,0,0,0,0,0.764893,0.172119
258,2685.000000,0,0,0,0,0.821777,0.323242
259,2695.000000,0,0,0,0,0.869385,0.455566
260,2705.000000,0,0,0,0,0.908447,0.571045
261,2715.000000,0,0,0,0,0.939941,0.671143
262,2725.000000,0,0,0,0,0.964355,0.757324
263,2735.000000,0,0,0,0,0.982666,0.831055
264,2745.000000,0,0,0,0,0.995605,0.893555
265,2755.000000,0,0,1,0,0.000000,0.945801
266,2765.000000,0,0,0,0,0.000000,0.988770
267,2775.000000,0,0,0,1,0.000000,0.000000
268,2785.000000,0,0,0,0,0.000000,0.000000
269,2795.000000,0,0,0,0,0.000000,0.000000
270,2805.000000,0,0,0,0,0.031006,0.000000
271,2815.000000,0,0,0,0,0.057861,0.000000
272,2825.000000,0,0,0,0,0.081299,0.048584
273,2835.000000,0,0,0,0,0.101562,0.091309
274,2845.000000,0,0,0,0,0.119141,0.128662
275,2855.000000,0,0,0,0,0.134033,0.160889
276,2865.000000,0,0,0,0,0.146729,0.188721
277,2875.000000,0,0,0,0,0.157227,0.212646
278,2885.000000,0,0,0,0,0.166016,0.232910
279,2895.000000,0,0,0,0,0.173096,0.249756
280,2905.000000,0,0,0,0,0.178711,0.263916
281,2915.000000,0,0,0,0,0.182861,0.275391
282,2925.000000,0,0,0,0,0.186035,0.284424
283,2935.000000,0,0,0,0,0.187988,0.291504
284,2945.000000,0,0,0,0,0.188965,0.296631
285,2955.000000,0,0,0,0,0.189209,0.300049
286,2965.000000,0,0,0,0,0.188477,0.301758
287,2975.000000,0,0,0,0,0.187256,0.302246
288,2985.000000,0,0,0,0,0.185303,0.301514
289,2995.000000,0,0,0,0,0.182861,0.299805
290,3005.000000,0,0,0,0,0.180176,0.297119
291,3015.000000,0,0,0,0,0.177002,0.293701
292,3025.000000,0,0,0,0,0.173340,0.289551
293,3035.000000,0,0,0,0,0.169434,0.284912
294,3045.000000,0,0,0,0,0.165283,0.279785
295,3055.000000,0,0,0,0,0.160889,0.274170
296,3065.000000,0,0,0,0,0.156494,0.268311
297,3075.000000,1,1,0,0,0.152100,0.261963
298,3085.000000,1,1,0,0,0.147705,0.255615
299,3095.000000,0,1,0,0,0.143066,0.249023
300,3105.000000,0,0,0,0,0.440918,0.591309
301,3115.000000,0,0,1,1,0.000000,0.000000
302,3125.000000,0,0,0,0,0.000000,0.000000
303,3135.000000,0,0,0,0,0.000000,0.000000
304,3145.000000,0,0,0,0,0.000000,0.000000
305,3155.000000,0,0,0,0,0.000000,0.000000
