cycle,time_ns,scene,in0_spk,in1_spk,n0_spk,n1_spk,n0_v_real,n1_v_real,n0_i_real,n1_i_real,n0_g_exc_real,n1_g_exc_real
0,0.000000,step_drive,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,10.000000,step_drive,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,20.000000,step_drive,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,30.000000,step_drive,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,40.000000,step_drive,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,50.000000,step_drive,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,60.000000,step_drive,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,70.000000,step_drive,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,80.000000,step_drive,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,90.000000,step_drive,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,100.000000,step_drive,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,110.000000,step_drive,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,120.000000,step_drive,1,0,0,0,0.000000,0.000000,0.299805,-0.049805,0.000000,0.000000
13,130.000000,step_drive,1,0,0,0,0.299805,-0.049805,0.575439,-0.093506,0.299805,0.000000
14,140.000000,step_drive,1,0,0,0,0.863037,-0.141357,0.829102,-0.131836,0.575439,0.000000
15,150.000000,step_drive,1,0,1,0,0.000000,-0.267578,1.062500,-0.165771,0.829102,0.000000
16,160.000000,step_drive,1,0,0,0,0.000000,-0.422852,1.277100,-0.195557,1.062500,0.000000
17,170.000000,step_drive,1,0,0,0,0.000000,-0.601562,1.474609,-0.221680,1.277100,0.000000
18,180.000000,step_drive,1,0,0,0,0.000000,-0.799316,1.656250,-0.244629,1.474609,0.000000
19,190.000000,step_drive,1,0,0,0,0.000000,-1.011963,1.833496,-0.264893,1.656250,0.000000
20,200.000000,step_drive,1,0,1,0,0.000000,-1.236572,1.993652,-0.282715,1.833496,0.000000
21,210.000000,step_drive,1,0,0,0,0.000000,-1.469971,2.138428,-0.298340,1.993652,0.000000
22,220.000000,step_drive,1,0,0,0,0.000000,-1.709473,2.269043,-0.312256,2.138428,0.000000
23,230.000000,step_drive,1,0,0,0,0.000000,-1.953369,2.386719,-0.324463,2.269043,0.000000
24,240.000000,step_drive,1,0,0,0,0.000000,-2.199707,2.479980,-0.335205,2.386719,0.000000
25,250.000000,step_drive,1,0,1,0,0.000000,-2.447021,2.560547,-0.344727,2.479980,0.000000
26,260.000000,step_drive,1,0,0,0,0.000000,-2.693848,2.629883,-0.353027,2.560547,0.000000
27,270.000000,step_drive,1,0,0,0,0.000000,-2.939209,2.688965,-0.360352,2.629883,0.000000
